Overall,Team,Player,Player ID,Nationality,Position,Pos2,Age,To,Amateur Team,Amateur League,Games Played,Goals,Assists,Points,+/-,Penalty Minutes,Wins,Loses,Ties,Save %,Goals Against Avg,Round,Draft Year
141,Columbus Blue Jackets,Veeti Vainio,vainive01,FI,D,,18,,Blues Jr.,Finland-Jr.,0,,,,,,,,,,,5,2015
142,San Jose Sharks,Rudolfs Balcers,balceru01,LV,LW,,18,2019,Stavanger,Norway,36,5,9,14,-7,10,,,,,,5,2015
143,Washington Capitals,Connor Hobbs,hobbsco01,CA,D,,18,,Regina,WHL,0,,,,,,,,,,,5,2015
144,Vancouver Canucks,Carl Neill,neillca01,CA,D,,19,,Sherbrooke,QMJHL,0,,,,,,,,,,,5,2015
145,Nashville Predators,Karel Vejmelka,vejmeka01,CZ,G,,19,,Pardubice Jr.,Czech-Jr.,0,,,,,,,,,,,5,2015
146,St. Louis Blues,Luke Opilka,opilklu01,US,G,,18,,USA U-18,USHL,0,,,,,,,,,,,5,2015
147,New York Islanders,Ryan Pilon,pilonry01,CA,D,,18,,Brandon,WHL,0,,,,,,,,,,,5,2015
148,Anaheim Ducks,Troy Terry,terrytr01,US,C,RW,18,2019,USA U-18,USHL,34,4,9,13,8,2,,,,,,5,2015
149,Vancouver Canucks,Adam Gaudette,gaudead01,US,C,,18,2019,Cedar Rapids,USHL,61,5,7,12,-6,18,,,,,,5,2015
150,Tampa Bay Lightning,Ryan Zuhlsdorf,zuhlsry01,US,D,,18,,Sioux City,USHL,0,,,,,,,,,,,6,2015
151,Chicago Blackhawks,Radovan Bondra,bondrra01,SK,RW,,18,,Kosice,Slovakia,0,,,,,,,,,,,6,2015
152,Buffalo Sabres,Giorgio Estephan,estepgi01,CA,C,,18,,Lethbridge,WHL,0,,,,,,,,,,,6,2015
153,Tampa Bay Lightning,Kristian Oldham,oldhakr01,US,G,,18,,Omaha,USHL,0,,,,,,,,,,,6,2015
154,Edmonton Oilers,John Marino,marinjo01,US,D,,18,,South Shore,USPHL,0,,,,,,,,,,,6,2015
155,Toronto Maple Leafs,Stephen Desrocher,desrost01,CA,D,,19,,Oshawa,OHL,0,,,,,,,,,,,6,2015
156,Carolina Hurricanes,Jake Massie,massija01,CA,D,,18,,Kimball Union,High-NH,0,,,,,,,,,,,6,2015
157,New Jersey Devils,Brett Seney,seneybr01,CA,LW,,19,2019,Merrimack,H-East,51,5,8,13,-14,31,,,,,,6,2015
158,Philadelphia Flyers,Cooper Marody,marodco01,US,C,,18,2019,Sioux Falls,USHL,6,0,0,0,-1,0,,,,,,6,2015
159,Columbus Blue Jackets,Vladislav Gavrikov,gavrivl01,RU,D,,19,,Yaroslavl,Russia,0,,,,,,,,,,,6,2015
160,San Jose Sharks,Adam Parsells,parsead01,US,D,,18,,Wausau West,High-WI,0,,,,,,,,,,,6,2015
161,Colorado Avalanche,Sergei Boikov,boikose01,RU,D,,19,,Drummondville,QMJHL,0,,,,,,,,,,,6,2015
162,Florida Panthers,Christopher Wilkie,wilkich01,US,RW,,19,,Tri-City,USHL,0,,,,,,,,,,,6,2015
163,Dallas Stars,Markus Ruusu,ruusuma01,FI,G,,18,,JYP Jr.,Finland-Jr.,0,,,,,,,,,,,6,2015
164,Chicago Blackhawks,Roy Radke,radkero01,US,RW,,18,,Barrie,OHL,0,,,,,,,,,,,6,2015
165,Boston Bruins,Cameron Hughes,hugheca01,CA,C,,18,,Wisconsin,Big Ten,0,,,,,,,,,,,6,2015
166,Calgary Flames,Andrew Mangiapane,mangian01,CA,LW,,19,2019,Barrie,OHL,54,8,5,13,8,14,,,,,,6,2015
167,Pittsburgh Penguins,Frederik Tiffels,tiffefr01,DE,LW,,20,,Western Michigan,NCHC,0,,,,,,,,,,,6,2015
168,Winnipeg Jets,Mason Appleton,applema01,US,C,,19,2019,Tri-City,USHL,36,3,7,10,9,4,,,,,,6,2015
169,Carolina Hurricanes,David Cotton,cottoda01,US,C,,18,,Cushing Academy,High-MA,0,,,,,,,,,,,6,2015
170,Detroit Red Wings,Patrick Holway,holwapa01,US,D,,18,,Boston Advantage U18,USMAAA,0,,,,,,,,,,,6,2015
171,Minnesota Wild,Nicholas Boka,bokani01,US,D,,18,,USA U-18,USHL,0,,,,,,,,,,,6,2015
172,New York Islanders,Andong Song,songan01,CN,D,,18,,Lawrenceville,Mid-Atlantic,0,,,,,,,,,,,6,2015
173,Washington Capitals,Colby Williams,willico01,CA,D,,20,,Regina,WHL,0,,,,,,,,,,,6,2015
174,Vancouver Canucks,Lukas Jasek,jaseklu01,CZ,RW,,18,,Trinec,Czech,0,,,,,,,,,,,6,2015
175,Nashville Predators,Tyler Moy,moyty01,US,C,,20,,Harvard,ECAC,0,,,,,,,,,,,6,2015
